batch,model,R2,RMSE,MAE
1,LinearRegression,0.9866562932502333,460.0311765870984,329.28537988647486
1,RandomForest,0.9929418918066154,334.57476086571586,204.00347508177796
1,SVR,0.47273495361122253,2891.768425781703,2392.5346864418602
1,XGBoost,0.9936395168107187,317.6099322125352,193.81278643040147
2,LinearRegression,0.9907536024320919,678.552873310217,448.1413149705075
2,RandomForest,0.9916860073802856,643.4313684398356,427.286318321786
2,SVR,0.18889963492022066,6355.280313766193,4197.4408888344815
2,XGBoost,0.9906626876793901,681.8806323131922,466.42922301729243
3,LinearRegression,0.9716022595248555,899.5244357399336,614.2024834267654
3,RandomForest,0.9913720443513251,495.8211228986041,318.19287913779834
3,SVR,0.260848942502223,4589.20728030043,3446.026232828099
3,XGBoost,0.9890635749374249,558.2243328201487,382.49250248416377
4,LinearRegression,0.9965425725012047,570.108955876642,452.0851807067544
4,RandomForest,0.9958191267349062,626.9238961957554,264.56314665127024
4,SVR,0.25058967016475453,8393.462608069593,5643.534110723302
4,XGBoost,0.9930704751064225,807.110601985976,333.98790049681395
5,LinearRegression,0.9889189715942632,653.8693243207402,484.3598971355956
5,RandomForest,0.9936907635336517,493.38885102505094,307.5209930715935
5,SVR,0.1866523194523203,5601.947642825864,4483.91935259529
5,XGBoost,0.9937522505463345,490.9787906464778,288.44652357975093
6,LinearRegression,0.9833531302222308,1061.2041192527647,661.8621552275837
6,RandomForest,0.9875119609339095,919.1359656620758,515.7958814472672
6,SVR,-0.25752028732561794,9223.380728299351,6899.789498500762
6,XGBoost,0.9867623525575806,946.320048787366,511.1091039568025
